campaign_id,channel,touchpoint_type,touch_date,campaign_medium,utm_source,utm_campaign,touchpoint_status,conversion_flag,time_to_conversion,creative_id,segment_id,frequency,reach,click_through_rate,cost_per_click,landing_page_url
CAM1006,social,video,2025-04-29 09:11:37,cpm,linkedin,utm_592,seen,0,,CR735,S922,2,1545,0.112,4.35,http://www.campbell.com/
CAM1001,display,banner,2025-04-05 21:09:17,cpv,linkedin,utm_422,clicked,0,,CR330,S168,3,9977,0.139,2.51,https://www.west.com/
CAM1000,social,video,2025-03-21 08:04:04,cpv,google,utm_654,converted,1,13.0,CR994,S912,2,2181,0.025,1.39,https://www.schultz-winters.info/
CAM1004,display,banner,2025-05-16 09:23:28,cpv,google,utm_305,seen,0,,CR122,S366,5,1033,0.161,0.5,https://leon.com/
CAM1000,email,popup,2025-05-15 21:14:55,cpm,google,utm_802,clicked,0,,CR737,S619,3,9771,0.014,3.88,http://www.burns.com/
CAM1004,display,video,2025-03-31 10:24:53,cpm,facebook,utm_840,clicked,0,,CR242,S147,3,5281,0.193,1.98,http://hanson.net/
CAM1000,search,popup,2025-04-17 15:58:27,cpm,google,utm_442,seen,0,,CR798,S335,4,9749,0.14,0.77,https://cole.com/
CAM1006,display,popup,2025-05-09 02:51:53,cpv,mailchimp,utm_856,seen,0,,CR224,S205,4,4012,0.062,1.85,http://wells.com/
CAM1007,search,text,2025-04-01 18:27:53,cpm,facebook,utm_937,clicked,0,,CR751,S400,2,5685,0.15,3.49,https://thomas.com/
CAM1000,search,popup,2025-04-28 17:13:07,cpv,linkedin,utm_566,seen,0,,CR326,S168,3,1954,0.059,4.55,http://www.jacobs.com/
CAM1005,email,banner,2025-04-20 19:50:54,cpm,mailchimp,utm_936,converted,1,43.0,CR864,S694,4,7614,0.165,3.25,https://www.henderson-cardenas.com/
CAM1007,search,banner,2025-03-29 22:48:10,cpm,google,utm_399,seen,0,,CR502,S761,5,3089,0.08,3.66,https://www.phillips.biz/
CAM1003,search,banner,2025-03-08 15:24:24,cpv,facebook,utm_439,converted,1,42.0,CR212,S781,5,8711,0.107,3.38,https://griffin.net/
CAM1002,email,text,2025-03-16 05:47:10,cpc,mailchimp,utm_118,seen,0,,CR951,S236,2,7748,0.185,4.74,https://giles.com/
CAM1000,search,banner,2025-03-20 04:51:44,cpv,mailchimp,utm_705,seen,0,,CR439,S835,3,8058,0.084,2.08,https://willis.com/
CAM1005,search,banner,2025-03-13 00:44:33,cpv,linkedin,utm_879,seen,0,,CR745,S598,3,4979,0.016,1.33,http://woods.biz/
CAM1007,social,banner,2025-04-23 09:53:20,cpm,google,utm_609,seen,0,,CR608,S768,3,6755,0.055,1.25,http://nguyen.com/
CAM1001,email,text,2025-05-02 11:44:44,cpm,mailchimp,utm_221,clicked,0,,CR291,S257,4,7581,0.046,1.52,https://avila.com/
CAM1000,search,banner,2025-04-18 05:20:25,cpc,mailchimp,utm_965,seen,0,,CR869,S268,1,4908,0.044,2.44,http://www.hernandez.com/
CAM1004,search,popup,2025-05-09 07:23:59,cpm,linkedin,utm_261,clicked,0,,CR118,S984,3,9793,0.152,1.49,http://www.compton-morgan.biz/
CAM1001,email,video,2025-04-03 08:35:00,cpm,facebook,utm_660,seen,0,,CR583,S832,2,4381,0.017,0.94,http://gardner-warren.biz/
CAM1007,social,popup,2025-05-07 10:30:14,cpc,google,utm_545,seen,0,,CR236,S687,2,9404,0.047,2.23,http://www.west.com/
CAM1000,email,video,2025-03-23 01:52:17,cpm,linkedin,utm_684,seen,0,,CR493,S467,3,3540,0.093,3.48,http://www.vega.com/
CAM1007,social,video,2025-04-16 11:26:09,cpc,linkedin,utm_337,converted,1,30.0,CR994,S408,2,8854,0.044,4.07,http://www.blake.com/
CAM1003,social,text,2025-04-18 14:26:41,cpv,google,utm_498,seen,0,,CR594,S579,2,3549,0.114,2.78,https://avila-santiago.com/
CAM1004,display,text,2025-04-19 12:57:41,cpm,google,utm_837,clicked,0,,CR966,S190,1,7806,0.011,4.69,https://caldwell.biz/
CAM1007,display,text,2025-04-23 09:39:55,cpc,mailchimp,utm_615,seen,0,,CR944,S441,1,2309,0.174,1.99,http://www.lawrence.com/
CAM1001,social,popup,2025-04-26 13:52:50,cpc,linkedin,utm_593,clicked,0,,CR658,S274,4,6817,0.14,1.04,https://www.miles-perkins.com/
CAM1007,email,banner,2025-04-19 10:24:08,cpc,facebook,utm_812,seen,0,,CR652,S764,1,1285,0.111,3.04,http://hernandez.org/
CAM1007,search,banner,2025-03-28 07:44:58,cpc,linkedin,utm_854,clicked,0,,CR343,S886,2,4008,0.07,0.82,https://price.com/
CAM1001,display,popup,2025-04-02 11:24:29,cpm,mailchimp,utm_444,converted,1,12.0,CR247,S668,2,6749,0.132,1.86,http://long-santos.info/
CAM1000,display,video,2025-03-03 19:08:58,cpm,mailchimp,utm_679,clicked,0,,CR574,S636,5,6365,0.143,4.56,https://lopez.biz/
CAM1000,search,banner,2025-05-18 02:56:14,cpm,mailchimp,utm_674,seen,0,,CR670,S470,2,6931,0.077,2.23,http://www.wolf.com/
CAM1000,email,video,2025-05-20 20:52:00,cpv,facebook,utm_852,seen,0,,CR105,S308,4,7756,0.012,4.3,http://ford-holland.com/
CAM1005,display,video,2025-04-25 00:50:53,cpc,google,utm_973,seen,0,,CR426,S951,1,5653,0.105,0.81,https://www.johnson.com/
CAM1002,display,banner,2025-03-21 00:50:11,cpc,google,utm_409,clicked,0,,CR765,S384,1,4077,0.078,1.64,https://murphy.com/
CAM1006,display,text,2025-05-29 09:39:49,cpm,google,utm_964,clicked,0,,CR285,S407,2,7405,0.154,4.57,https://carlson.com/
CAM1002,social,text,2025-03-08 12:59:37,cpc,mailchimp,utm_602,seen,0,,CR681,S482,5,8191,0.078,1.67,http://www.harvey.com/
