transaction_id,order_id,product_id,quantity,total_amount,discount_code_used,discount_value,shipping_cost,total_payable,return_stat,return_date
TX1000,ORD1000,P1589,2,81.88,Yes,23.07,14.02,72.83,Not Returned,
TX1000,ORD1000,P1326,2,245.0,No,0.0,17.9,262.9,Not Returned,
TX1000,ORD1000,P1417,2,149.6,No,0.0,0.3,149.9,Not Returned,
TX1001,ORD1001,P1018,3,372.93,No,0.0,22.91,395.84,Not Returned,
TX1001,ORD1001,P1442,1,63.98,No,0.0,12.82,76.8,Not Returned,
TX1001,ORD1001,P1906,1,65.45,Yes,13.05,19.56,71.96,Not Returned,
TX1002,ORD1002,P1283,3,814.38,No,0.0,19.04,833.42,Not Returned,
TX1003,ORD1003,P1117,3,40.44,Yes,11.34,1.65,30.75,Not Returned,
TX1004,ORD1004,P1306,1,92.37,Yes,9.49,24.03,106.91,Returned,2025-03-23 20:39:21
TX1004,ORD1004,P1157,2,126.82,Yes,35.34,3.32,94.8,Not Returned,
TX1005,ORD1005,P1735,1,61.63,No,0.0,19.44,81.07,Returned,2025-04-28 22:47:37
TX1005,ORD1005,P1964,3,92.25,No,0.0,17.91,110.16,Not Returned,
TX1006,ORD1006,P1693,3,141.21,Yes,40.84,12.88,113.25,Not Returned,
TX1006,ORD1006,P1976,3,108.33,Yes,18.24,23.74,113.83,Returned,2025-04-03 05:03:23
TX1006,ORD1006,P1875,1,16.12,Yes,3.93,3.62,15.81,Not Returned,
TX1007,ORD1007,P1593,3,284.52,No,0.0,4.54,289.06,Not Returned,
TX1007,ORD1007,P1890,1,178.7,Yes,30.61,11.23,159.32,Not Returned,
TX1008,ORD1008,P1502,1,454.59,Yes,115.61,4.91,343.89,Not Returned,
TX1008,ORD1008,P1960,3,183.84,Yes,43.16,15.13,155.81,Not Returned,
TX1009,ORD1009,P1962,2,83.7,Yes,19.67,10.56,74.59,Not Returned,
TX1010,ORD1010,P1489,2,104.88,No,0.0,7.73,112.61,Not Returned,
TX1010,ORD1010,P1156,2,50.82,No,0.0,4.58,55.4,Returned,2025-05-13 15:12:56
TX1010,ORD1010,P1398,2,235.64,No,0.0,18.75,254.39,Not Returned,
