session_id,user_id,page,sponsored_listing_viewed,banner_viewed,homepage_promo_seen,product_search_view,sponsored_listing_viewed_cost,banner_viewed_cost,homepage_promo_seen_cost,product_search_view_cost,session_total_cost
S1000,U1000,search,0,1,0,0,0.0,0.18,0.0,0.0,0.18
S1001,U1000,category,0,1,1,0,0.0,0.79,0.92,0.0,1.71
S1002,U1000,search,0,1,1,1,0.0,0.71,1.38,0.1,2.19
S1003,U1001,category,0,0,0,1,0.0,0.0,0.0,0.35,0.35
S1004,U1001,category,1,0,0,1,2.82,0.0,0.0,0.14,2.96
S1005,U1001,search,0,1,1,0,0.0,0.28,1.49,0.0,1.77
S1006,U1001,offers,1,0,1,1,2.86,0.0,1.73,0.36,4.95
S1007,U1001,product,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1008,U1002,home,0,0,0,1,0.0,0.0,0.0,0.34,0.34
S1009,U1002,home,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1010,U1002,category,0,0,1,1,0.0,0.0,1.43,0.29,1.72
S1011,U1002,search,0,0,1,0,0.0,0.0,1.53,0.0,1.53
S1012,U1002,product,1,1,1,0,1.57,0.77,1.35,0.0,3.69
S1013,U1003,offers,1,0,0,0,2.76,0.0,0.0,0.0,2.76
S1014,U1003,product,1,0,1,0,2.83,0.0,1.44,0.0,4.27
S1015,U1003,search,0,1,0,0,0.0,0.42,0.0,0.0,0.42
S1016,U1004,home,1,1,1,0,2.88,0.53,1.34,0.0,4.75
S1017,U1004,search,0,1,0,0,0.0,0.77,0.0,0.0,0.77
S1018,U1004,product,0,1,1,0,0.0,0.2,1.77,0.0,1.97
S1019,U1005,search,0,0,1,0,0.0,0.0,0.23,0.0,0.23
S1020,U1005,category,0,0,0,1,0.0,0.0,0.0,0.36,0.36
S1021,U1005,search,0,0,0,1,0.0,0.0,0.0,0.18,0.18
S1022,U1006,category,1,1,0,1,1.46,0.84,0.0,0.4,2.7
S1023,U1006,category,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1024,U1007,offers,0,0,0,1,0.0,0.0,0.0,0.08,0.08
S1025,U1007,category,0,0,0,1,0.0,0.0,0.0,0.27,0.27
S1026,U1007,product,0,0,0,1,0.0,0.0,0.0,0.33,0.33
S1027,U1007,category,0,0,0,1,0.0,0.0,0.0,0.09,0.09
S1028,U1008,search,1,1,1,1,0.58,0.77,0.46,0.41,2.22
S1029,U1008,home,0,0,1,1,0.0,0.0,1.0,0.44,1.44
S1030,U1008,home,0,0,1,1,0.0,0.0,0.89,0.47,1.36
S1031,U1008,category,0,0,1,0,0.0,0.0,1.0,0.0,1.0
S1032,U1008,offers,1,0,1,1,2.26,0.0,1.69,0.41,4.36
S1033,U1009,product,0,0,0,1,0.0,0.0,0.0,0.32,0.32
S1034,U1009,search,1,1,0,1,2.74,0.93,0.0,0.08,3.75
S1035,U1009,offers,0,0,0,1,0.0,0.0,0.0,0.41,0.41
S1036,U1009,category,1,0,0,1,1.5,0.0,0.0,0.06,1.56
S1037,U1009,home,0,1,0,0,0.0,0.37,0.0,0.0,0.37
S1038,U1010,search,1,0,0,0,1.74,0.0,0.0,0.0,1.74
S1039,U1010,search,0,1,1,0,0.0,0.24,1.87,0.0,2.11
S1040,U1010,home,0,0,0,1,0.0,0.0,0.0,0.39,0.39
S1041,U1011,home,1,0,0,1,0.59,0.0,0.0,0.35,0.94
S1042,U1011,product,1,0,1,1,0.56,0.0,0.63,0.21,1.4
S1043,U1011,home,0,0,1,1,0.0,0.0,1.74,0.14,1.88
S1044,U1012,offers,1,0,0,1,1.44,0.0,0.0,0.09,1.53
S1045,U1012,offers,0,1,0,0,0.0,0.77,0.0,0.0,0.77
S1046,U1012,offers,0,0,1,0,0.0,0.0,1.48,0.0,1.48
S1047,U1012,category,0,0,1,0,0.0,0.0,0.72,0.0,0.72
S1048,U1012,search,0,0,1,0,0.0,0.0,1.63,0.0,1.63
S1049,U1013,search,1,0,1,1,2.16,0.0,0.99,0.2,3.35
S1050,U1013,category,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1051,U1013,category,0,1,0,1,0.0,0.34,0.0,0.24,0.58
S1052,U1013,home,1,0,1,1,1.14,0.0,0.82,0.32,2.28
S1053,U1014,product,0,0,0,1,0.0,0.0,0.0,0.17,0.17
S1054,U1014,category,1,0,0,1,2.44,0.0,0.0,0.24,2.68
S1055,U1014,category,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1056,U1014,home,1,0,0,1,2.48,0.0,0.0,0.35,2.83
S1057,U1014,offers,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1058,U1015,home,0,0,0,1,0.0,0.0,0.0,0.39,0.39
S1059,U1015,offers,0,0,1,1,0.0,0.0,1.73,0.31,2.04
S1060,U1016,product,1,0,0,1,1.15,0.0,0.0,0.41,1.56
S1061,U1016,product,0,1,1,1,0.0,0.6,0.87,0.47,1.94
S1062,U1016,offers,0,1,0,1,0.0,0.35,0.0,0.33,0.68
S1063,U1016,category,1,0,1,0,2.44,0.0,0.83,0.0,3.27
S1064,U1016,search,0,1,1,1,0.0,0.31,1.61,0.26,2.18
S1065,U1017,product,0,0,0,1,0.0,0.0,0.0,0.46,0.46
S1066,U1017,category,0,0,1,1,0.0,0.0,1.94,0.22,2.16
S1067,U1017,home,0,1,0,1,0.0,0.54,0.0,0.42,0.96
S1068,U1017,product,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1069,U1017,offers,0,0,0,1,0.0,0.0,0.0,0.44,0.44
S1070,U1018,offers,0,1,0,0,0.0,0.45,0.0,0.0,0.45
S1071,U1018,category,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1072,U1018,product,0,0,0,1,0.0,0.0,0.0,0.3,0.3
S1073,U1018,offers,0,0,0,1,0.0,0.0,0.0,0.25,0.25
S1074,U1019,product,0,0,1,0,0.0,0.0,1.93,0.0,1.93
S1075,U1019,category,0,0,0,1,0.0,0.0,0.0,0.12,0.12
S1076,U1019,offers,1,0,1,1,1.11,0.0,1.6,0.23,2.94
S1077,U1019,category,1,0,0,0,1.07,0.0,0.0,0.0,1.07
S1078,U1020,offers,0,1,0,1,0.0,0.29,0.0,0.17,0.46
S1079,U1020,category,1,1,0,1,1.8,0.48,0.0,0.29,2.57
S1080,U1020,product,0,0,1,1,0.0,0.0,1.58,0.29,1.87
S1081,U1021,product,0,1,0,0,0.0,0.74,0.0,0.0,0.74
S1082,U1021,product,0,0,0,1,0.0,0.0,0.0,0.35,0.35
S1083,U1021,home,0,0,0,1,0.0,0.0,0.0,0.13,0.13
S1084,U1021,product,0,0,1,1,0.0,0.0,1.61,0.15,1.76
S1085,U1021,search,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1086,U1022,search,0,0,1,0,0.0,0.0,1.83,0.0,1.83
S1087,U1022,offers,0,0,1,1,0.0,0.0,1.06,0.09,1.15
S1088,U1022,category,0,1,1,0,0.0,0.49,0.36,0.0,0.85
S1089,U1023,offers,0,0,1,1,0.0,0.0,0.52,0.38,0.9
S1090,U1023,category,0,0,0,1,0.0,0.0,0.0,0.15,0.15
S1091,U1023,product,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1092,U1023,offers,0,0,1,1,0.0,0.0,0.36,0.42,0.78
S1093,U1023,home,0,0,0,1,0.0,0.0,0.0,0.05,0.05
S1094,U1024,category,1,0,1,1,1.78,0.0,0.38,0.07,2.23
S1095,U1024,category,1,0,0,1,2.52,0.0,0.0,0.24,2.76
S1096,U1024,search,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1097,U1025,product,1,0,0,1,1.77,0.0,0.0,0.19,1.96
S1098,U1025,search,0,1,0,1,0.0,0.65,0.0,0.44,1.09
S1099,U1025,home,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1100,U1025,home,0,1,0,0,0.0,0.87,0.0,0.0,0.87
S1101,U1025,home,0,1,0,0,0.0,0.5,0.0,0.0,0.5
S1102,U1026,category,1,0,0,1,2.03,0.0,0.0,0.17,2.2
